Requête,SELECT(n),JOIN(n),FILTER(1ou 0),UNION(n ou 0),ORDER BY(1ou 0),GROUP BY(1ou 0),LIMIT/OFFSET(1ou 0)
"SELECT ?X WHERE{
	?X <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://swat.cse.lehigh.edu/onto/univ-bench.owl#GraduateStudent> .
	?X <http://swat.cse.lehigh.edu/onto/univ-bench.owl#takesCourse> <http://www.Department9.University3580.edu/GraduateCourse1> .
}",1,0,0,0,0,0,0
"SELECT ?X WHERE{
	?X <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://swat.cse.lehigh.edu/onto/univ-bench.owl#GraduateStudent> .
	?X <http://swat.cse.lehigh.edu/onto/univ-bench.owl#takesCourse> <http://www.Department12.University221.edu/GraduateCourse3> .
}",1,0,0,0,0,0,0
"SELECT ?X WHERE{
	?X <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://swat.cse.lehigh.edu/onto/univ-bench.owl#GraduateStudent> .
	?X <http://swat.cse.lehigh.edu/onto/univ-bench.owl#takesCourse> <http://www.Department13.University9831.edu/GraduateCourse2> .
}",1,0,0,0,0,0,0
"SELECT ?X WHERE{
	?X <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://swat.cse.lehigh.edu/onto/univ-bench.owl#GraduateStudent> .
	?X <http://swat.cse.lehigh.edu/onto/univ-bench.owl#takesCourse> <http://www.Department4.University8582.edu/GraduateCourse0> .
}",1,0,0,0,0,0,0
"SELECT ?X WHERE{
	?X <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://swat.cse.lehigh.edu/onto/univ-bench.owl#GraduateStudent> .
	?X <http://swat.cse.lehigh.edu/onto/univ-bench.owl#takesCourse> <http://www.Department3.University7281.edu/GraduateCourse3> .
}",1,0,0,0,0,0,0
"SELECT ?X WHERE{
	?X <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://swat.cse.lehigh.edu/onto/univ-bench.owl#GraduateStudent> .
	?X <http://swat.cse.lehigh.edu/onto/univ-bench.owl#takesCourse> <http://www.Department2.University9511.edu/GraduateCourse4> .
}",1,0,0,0,0,0,0
"SELECT ?X WHERE{
	?X <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://swat.cse.lehigh.edu/onto/univ-bench.owl#GraduateStudent> .
	?X <http://swat.cse.lehigh.edu/onto/univ-bench.owl#takesCourse> <http://www.Department15.University5669.edu/GraduateCourse3> .
}",1,0,0,0,0,0,0
"SELECT ?X WHERE{
	?X <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://swat.cse.lehigh.edu/onto/univ-bench.owl#GraduateStudent> .
	?X <http://swat.cse.lehigh.edu/onto/univ-bench.owl#takesCourse> <http://www.Department1.University3978.edu/GraduateCourse2> .
}",1,0,0,0,0,0,0
"SELECT ?X WHERE{
	?X <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://swat.cse.lehigh.edu/onto/univ-bench.owl#GraduateStudent> .
	?X <http://swat.cse.lehigh.edu/onto/univ-bench.owl#takesCourse> <http://www.Department5.University9609.edu/GraduateCourse2> .
}",1,0,0,0,0,0,0
"SELECT ?X WHERE{
	?X <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://swat.cse.lehigh.edu/onto/univ-bench.owl#GraduateStudent> .
	?X <http://swat.cse.lehigh.edu/onto/univ-bench.owl#takesCourse> <http://www.Department1.University6391.edu/GraduateCourse3> .
}",1,0,0,0,0,0,0
"SELECT ?X WHERE{
	?X <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://swat.cse.lehigh.edu/onto/univ-bench.owl#GraduateStudent> .
	?X <http://swat.cse.lehigh.edu/onto/univ-bench.owl#takesCourse> <http://www.Department18.University8124.edu/GraduateCourse0> .
}",1,0,0,0,0,0,0
"SELECT ?X WHERE{
	?X <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://swat.cse.lehigh.edu/onto/univ-bench.owl#GraduateStudent> .
	?X <http://swat.cse.lehigh.edu/onto/univ-bench.owl#takesCourse> <http://www.Department10.University4218.edu/GraduateCourse2> .
}",1,0,0,0,0,0,0
"SELECT ?X WHERE{
	?X <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://swat.cse.lehigh.edu/onto/univ-bench.owl#GraduateStudent> .
	?X <http://swat.cse.lehigh.edu/onto/univ-bench.owl#takesCourse> <http://www.Department4.University8555.edu/GraduateCourse0> .
}",1,0,0,0,0,0,0
"SELECT ?X WHERE{
	?X <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://swat.cse.lehigh.edu/onto/univ-bench.owl#GraduateStudent> .
	?X <http://swat.cse.lehigh.edu/onto/univ-bench.owl#takesCourse> <http://www.Department9.University7672.edu/GraduateCourse5> .
}",1,0,0,0,0,0,0
"SELECT ?X WHERE{
	?X <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://swat.cse.lehigh.edu/onto/univ-bench.owl#GraduateStudent> .
	?X <http://swat.cse.lehigh.edu/onto/univ-bench.owl#takesCourse> <http://www.Department15.University5250.edu/GraduateCourse3> .
}",1,0,0,0,0,0,0
